"Index","Kind","Url","Status","Output","Message"
"1","web","http://saifmohammad.com/","downloaded","C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\raw\001_saifmohammad.com_index.html",""
"2","web","http://saifmohammad.com/WebPages/ResearchAreas.html","downloaded","C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\raw\002_saifmohammad.com_ResearchAreas.html",""
"3","web","http://saifmohammad.com/WebPages/ResearchInterests.html","downloaded","C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\raw\003_saifmohammad.com_ResearchInterests.html",""
"4","web","http://saifmohammad.com/WebPages/lexicons.html","downloaded","C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\raw\004_saifmohammad.com_lexicons.html",""
"5","web","http://saifmohammad.com/WebPages/SentimentEmotionLabeledData.html","downloaded","C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\raw\005_saifmohammad.com_SentimentEmotionLabeledData.html",""
"6","web","http://saifmohammad.com/WebPages/invitedtalks.html","downloaded","C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\raw\006_saifmohammad.com_invitedtalks.html",""
"7","web","http://saifmohammad.com/WebPages/contact.htm","downloaded","C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\raw\007_saifmohammad.com_contact.htm",""
"8","web","https://saifmohammad.com/WebDocs/EmoLex-Ethics-Data-Statement.pdf","downloaded","C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\raw\008_saifmohammad.com_EmoLex-Ethics-Data-Statement.pdf",""
"9","github","https://github.com/Priya22/EmotionDynamics","cloned_and_downloaded","C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\raw\009_github.com_EmotionDynamics.html","C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\github_repos\Priya22__EmotionDynamics"
"10","web","https://arxiv.org/abs/2204.04862","downloaded","C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\raw\010_arxiv.org_2204.04862",""
"11","web","https://saifmohammad.com/index.html","downloaded","C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\raw\011_saifmohammad.com_index.html",""
"12","web","https://saifmohammad.com/WebPages/BestWorst.html","downloaded","C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\raw\012_saifmohammad.com_BestWorst.html",""
"13","web","https://saifmohammad.com/WebPages/NRC-Emotion-Lexicon.htm","downloaded","C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\raw\013_saifmohammad.com_NRC-Emotion-Lexicon.htm",""
"14","web","http://arxiv.org/pdf/1308.6297.pdf","downloaded","C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\raw\014_arxiv.org_1308.6297.pdf",""
"15","web","https://saifmohammad.com/WebPages/Abstracts/crowdemo.bib.txt","downloaded","C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\raw\015_saifmohammad.com_crowdemo.bib.txt",""
"16","web","https://saifmohammad.com/WebDocs/Mohammad-Turney-NAACL10-EmotionWorkshop.pdf","downloaded","C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\raw\016_saifmohammad.com_Mohammad-Turney-NAACL10-EmotionWorkshop.pdf",""
"17","web","https://saifmohammad.com/WebDocs/Mohammad-Turney-NAACL10-EmotionWorkshop-slides.pdf","downloaded","C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\raw\017_saifmohammad.com_Mohammad-Turney-NAACL10-EmotionWorkshop-slides.pdf",""
"18","web","https://saifmohammad.com/WebPages/AffectIntensity.htm","downloaded","C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\raw\018_saifmohammad.com_AffectIntensity.htm",""
"19","web","https://arxiv.org/abs/1704.08798","downloaded","C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\raw\019_arxiv.org_1704.08798",""
"20","web","https://saifmohammad.com/WebDocs/lrec2018-paper-word-emotion.pdf","downloaded","C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\raw\020_saifmohammad.com_lrec2018-paper-word-emotion.pdf",""
"21","web","https://saifmohammad.com/WebPages/Abstracts/AIL.bib.txt","downloaded","C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\raw\021_saifmohammad.com_AIL.bib.txt",""
"22","web","https://saifmohammad.com/WebDocs/LREC2018-word-emo-talk.pdf","downloaded","C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\raw\022_saifmohammad.com_LREC2018-word-emo-talk.pdf",""
"23","web","https://saifmohammad.com/WebPages/nrc-vad.html","downloaded","C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\raw\023_saifmohammad.com_nrc-vad.html",""
"24","web","https://saifmohammad.com/WebDocs/acl2018-VAD.pdf","downloaded","C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\raw\024_saifmohammad.com_acl2018-VAD.pdf",""
"25","web","https://saifmohammad.com/WebPages/Abstracts/vad-acl18.bib.txt","downloaded","C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\raw\025_saifmohammad.com_vad-acl18.bib.txt",""
"26","web","https://saifmohammad.com/worrywords.html","downloaded","C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\raw\026_saifmohammad.com_worrywords.html",""
"27","web","https://saifmohammad.com/WebDocs/worrywords-emnlp2024.pdf","downloaded","C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\raw\027_saifmohammad.com_worrywords-emnlp2024.pdf",""
"28","web","https://saifmohammad.com/WebPages/Abstracts/worrywords-emnlp2024.bib.txt","downloaded","C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\raw\028_saifmohammad.com_worrywords-emnlp2024.bib.txt",""
"29","web","https://saifmohammad.com/WebDocs/WorryWords-poster.pdf","downloaded","C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\raw\029_saifmohammad.com_WorryWords-poster.pdf",""
"30","web","https://saifmohammad.com/WebPages/warmth.html","downloaded","C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\raw\030_saifmohammad.com_warmth.html",""
"31","web","https://www.arxiv.org/abs/2506.03993","downloaded","C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\raw\031_www.arxiv.org_2506.03993",""
"32","web","http://saifmohammad.com/WebPages/SCL.html","downloaded","C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\raw\032_saifmohammad.com_SCL.html",""
"33","web","https://saifmohammad.com/WebDocs/SCL-NMA-wassa2016.pdf","downloaded","C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\raw\033_saifmohammad.com_SCL-NMA-wassa2016.pdf",""
"34","web","https://saifmohammad.com/WebPages/Abstracts/scl-nma-wassa.bib.txt","downloaded","C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\raw\034_saifmohammad.com_scl-nma-wassa.bib.txt",""
"35","web","https://saifmohammad.com/WebDocs/WASSA-2016-SCL-NMA.pdf","downloaded","C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\raw\035_saifmohammad.com_WASSA-2016-SCL-NMA.pdf",""
"36","web","https://saifmohammad.com/WebDocs/BWS-naacl2016.pdf","downloaded","C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\raw\036_saifmohammad.com_BWS-naacl2016.pdf",""
"37","web","https://saifmohammad.com/WebPages/Abstracts/BWS-naacl16.bib.txt","downloaded","C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\raw\037_saifmohammad.com_BWS-naacl16.bib.txt",""
"38","web","https://saifmohammad.com/WebDocs/NAACL-2016-best-worst.pdf","downloaded","C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\raw\038_saifmohammad.com_NAACL-2016-best-worst.pdf",""
"39","web","https://saifmohammad.com/WebDocs/semeval2016-task7.pdf","downloaded","C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\raw\039_saifmohammad.com_semeval2016-task7.pdf",""
"40","web","https://saifmohammad.com/WebPages/Abstracts/Sem16-Task7.bib.txt","downloaded","C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\raw\040_saifmohammad.com_Sem16-Task7.bib.txt",""
"41","web","https://saifmohammad.com/WebDocs/SemEval-2016-Task7.pdf","downloaded","C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\raw\041_saifmohammad.com_SemEval-2016-Task7.pdf",""
"42","web","http://alt.qcri.org/semeval2016/task7/","downloaded","C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\raw\042_alt.qcri.org_index.html",""
"43","web","https://saifmohammad.com/WebPages/SCL.html","downloaded","C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\raw\043_saifmohammad.com_SCL.html",""
"44","web","https://saifmohammad.com/WebDocs/semeval-2015-task10.pdf","downloaded","C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\raw\044_saifmohammad.com_semeval-2015-task10.pdf",""
"45","web","http://alt.qcri.org/semeval2015/cdrom/bib/SemEval078.bib","downloaded","C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\raw\045_alt.qcri.org_SemEval078.bib",""
"46","web","https://saifmohammad.com/WebDocs/NRC-Sentiment-JAIR-2014.pdf","downloaded","C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\raw\046_saifmohammad.com_NRC-Sentiment-JAIR-2014.pdf",""
"47","web","https://saifmohammad.com/WebDocs/JAIR14-bibtex.txt","downloaded","C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\raw\047_saifmohammad.com_JAIR14-bibtex.txt",""
"48","web","https://saifmohammad.com/WebDocs/OPP-naacl2016.pdf","downloaded","C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\raw\048_saifmohammad.com_OPP-naacl2016.pdf",""
"49","web","https://saifmohammad.com/WebPages/Abstracts/scl-opp-naacl.bib.txt","downloaded","C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\raw\049_saifmohammad.com_scl-opp-naacl.bib.txt",""
"50","web","https://saifmohammad.com/WebDocs/NAACL-2016-opposing-polarity.pdf","downloaded","C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\raw\050_saifmohammad.com_NAACL-2016-opposing-polarity.pdf",""
"51","web","https://saifmohammad.com/WebDocs/OpposingPolarityLexicon-LREC2016.pdf","downloaded","C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\raw\051_saifmohammad.com_OpposingPolarityLexicon-LREC2016.pdf",""
"52","web","https://saifmohammad.com/WebPages/Abstracts/scl-opp-lrec.bib.txt","downloaded","C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\raw\052_saifmohammad.com_scl-opp-lrec.bib.txt",""
"53","web","https://saifmohammad.com/WebDocs/LREC-2016-Opposing-Polarity-Lexicon-poster.pdf","downloaded","C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\raw\053_saifmohammad.com_LREC-2016-Opposing-Polarity-Lexicon-poster.pdf",""
"54","web","https://saifmohammad.com/Lexicons/NRC-Colour-Lexicon-v0.92.zip","downloaded","C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\raw\054_saifmohammad.com_NRC-Colour-Lexicon-v0.92.zip",""
"55","web","https://www.aclweb.org/anthology/W11-0611","failed","C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\raw\055_www.aclweb.org_W11-0611.html","The request was aborted: Could not create SSL/TLS secure channel."
"56","web","http://aclweb.org/anthology-new/W/W11/W11-0611.bib","failed","C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\raw\056_aclweb.org_W11-0611.bib","The remote server returned an error: (500) Internal Server Error."
"57","web","https://saifmohammad.com/WebDocs/CogMod-colours.pdf","downloaded","C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\raw\057_saifmohammad.com_CogMod-colours.pdf",""
"58","web","https://www.aclweb.org/anthology/P11-2064/","failed","C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\raw\058_www.aclweb.org_index.html","The request was aborted: Could not create SSL/TLS secure channel."
"59","web","http://aclweb.org/anthology-new/P/P11/P11-2064.bib","failed","C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\raw\059_aclweb.org_P11-2064.bib","The remote server returned an error: (500) Internal Server Error."
"60","web","https://saifmohammad.com/WebDocs/ACL2011-word-colour-associations-poster.pdf","downloaded","C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\raw\060_saifmohammad.com_ACL2011-word-colour-associations-poster.pdf",""
"61","web","https://saifmohammad.com/WebDocs/NRC-Hashtag-Emotion-Lexicon-v0.2.zip","downloaded","C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\raw\061_saifmohammad.com_NRC-Hashtag-Emotion-Lexicon-v0.2.zip",""
"62","web","https://saifmohammad.com/WebDocs/Jan9-2012-tweets-clean.txt.zip","downloaded","C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\raw\062_saifmohammad.com_Jan9-2012-tweets-clean.txt.zip",""
"63","web","http://saifmohammad.com/WebDocs/hashtags-MK.pdf","downloaded","C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\raw\063_saifmohammad.com_hashtags-MK.pdf",""
"64","web","http://ixa2.si.ehu.es/starsem/proc/pdf/STARSEM-SEMEVAL033.pdf","downloaded","C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\raw\064_ixa2.si.ehu.es_STARSEM-SEMEVAL033.pdf",""
"65","web","https://saifmohammad.com/WebDocs/NRC-Hashtag-Sentiment-Lexicon-v0.1.zip","downloaded","C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\raw\065_saifmohammad.com_NRC-Hashtag-Sentiment-Lexicon-v0.1.zip",""
"66","web","https://saifmohammad.com/WebDocs/NRC-Hashtag-Sentiment-AffLexNegLex-v1.0.zip","downloaded","C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\raw\066_saifmohammad.com_NRC-Hashtag-Sentiment-AffLexNegLex-v1.0.zip",""
"67","web","https://saifmohammad.com/WebDocs/NRC-Emoticon-Lexicon-v1.0.zip","downloaded","C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\raw\067_saifmohammad.com_NRC-Emoticon-Lexicon-v1.0.zip",""
"68","web","https://saifmohammad.com/WebDocs/NRC-Emoticon-AffLexNegLex-v1.0.zip","downloaded","C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\raw\068_saifmohammad.com_NRC-Emoticon-AffLexNegLex-v1.0.zip",""
"69","web","https://saifmohammad.com/WebDocs/sentimentMKZ.pdf","downloaded","C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\raw\069_saifmohammad.com_sentimentMKZ.pdf",""
"70","web","https://saifmohammad.com/WebPages/Abstracts/semeval2013.bib.txt","downloaded","C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\raw\070_saifmohammad.com_semeval2013.bib.txt",""
"71","web","https://saifmohammad.com/WebDocs/SemEval2014-Task9.pdf","downloaded","C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\raw\071_saifmohammad.com_SemEval2014-Task9.pdf",""
"72","web","https://saifmohammad.com/Lexicons/Yelp-restaurant-reviews.zip","downloaded","C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\raw\072_saifmohammad.com_Yelp-restaurant-reviews.zip",""
"73","web","https://www.yelp.ca/academic_dataset","downloaded","C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\raw\073_www.yelp.ca_academic_dataset.html",""
"74","web","https://saifmohammad.com/WebDocs/selected-restCats.txt","downloaded","C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\raw\074_saifmohammad.com_selected-restCats.txt",""
"75","web","https://saifmohammad.com/Lexicons/Amazon-laptop-electronics-reviews.zip","downloaded","C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\raw\075_saifmohammad.com_Amazon-laptop-electronics-reviews.zip",""
"76","web","https://saifmohammad.com/WebDocs/NRC-SemEval2014-Task4.pdf","downloaded","C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\raw\076_saifmohammad.com_NRC-SemEval2014-Task4.pdf",""
"77","web","http://alt.qcri.org/semeval2014/cdrom/bib/SemEval076.bib","downloaded","C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\raw\077_alt.qcri.org_SemEval076.bib",""
"78","web","https://saifmohammad.com/WebDocs/NRC_Yelp_Word_Aspect_Association_Lexicons.zip","downloaded","C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\raw\078_saifmohammad.com_NRC_Yelp_Word_Aspect_Association_Lexicons.zip",""
"79","web","https://saifmohammad.com/Lexicons/MSOL-June15-09.txt.zip","downloaded","C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\raw\079_saifmohammad.com_MSOL-June15-09.txt.zip",""
"80","web","https://saifmohammad.com/WebDocs/Mohammad-Dunne-Dorr-SO-EMNLP09.pdf","downloaded","C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\raw\080_saifmohammad.com_Mohammad-Dunne-Dorr-SO-EMNLP09.pdf",""
"81","web","https://saifmohammad.com/WebPages/ArabicSA.html","downloaded","C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\raw\081_saifmohammad.com_ArabicSA.html",""
"82","web","https://saifmohammad.com/WebPages/NRC-Canada-Sentiment.htm","downloaded","C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\raw\082_saifmohammad.com_NRC-Canada-Sentiment.htm",""
"83","github","https://github.com/felipebravom/AffectiveTweets","cloned_and_downloaded","C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\raw\083_github.com_AffectiveTweets.html","C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\github_repos\felipebravom__AffectiveTweets"
"84","web","https://saifmohammad.com/WebDocs/CA-poster-final.pdf","downloaded","C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\raw\084_saifmohammad.com_CA-poster-final.pdf",""
"85","web","https://saifmohammad.com/WebPages/Students.html","downloaded","C:\Users\matei\Desktop\NLP Materiale\linkuri_extrase\raw\085_saifmohammad.com_Students.html",""
